ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
4826, 0.001, 0.000, 0.001, 0.000, {built-in, method _thread.allocate_lock}
4758, 0.001, 0.000, 0.001, 0.000, inspect.py:159(isfunction)
4654, 0.005, 0.000, 0.007, 0.000, <frozen, importlib._bootstrap>:87(acquire)
4654, 0.005, 0.000, 0.007, 0.000, <frozen, importlib._bootstrap>:112(release)
4654, 0.007, 0.000, 0.011, 0.000, <frozen, importlib._bootstrap>:166(_get_module_lock)
4642, 0.000, 0.000, 0.000, 0.000, inspect.py:2552(default)
4531, 0.001, 0.000, 0.001, 0.000, artist.py:1567(<genexpr>)
4529, 0.002, 0.000, 0.005, 0.000, {built-in, method builtins.max}
4373, 0.001, 0.000, 0.001, 0.000, {method, 'rfind' of 'str' objects}
4366, 0.002, 0.000, 0.002, 0.000, {built-in, method builtins.sorted}
4297, 0.002, 0.000, 0.017, 0.000, <frozen, importlib._bootstrap>:385(cached)
4128, 0.003, 0.000, 0.008, 0.000, <frozen, importlib._bootstrap_external>:127(_path_split)
4128, 0.008, 0.000, 0.023, 0.000, <frozen, importlib._bootstrap_external>:361(cache_from_source)
4050, 0.007, 0.000, 0.096, 0.000, artist.py:1474(get_valid_values)
4050, 0.003, 0.000, 0.006, 0.000, artist.py:1559(aliased_name)
4027/3812, 0.002, 0.000, 0.028, 0.000, typing.py:271(inner)
4022, 0.000, 0.000, 0.000, 0.000, {method, 'values' of 'mappingproxy' objects}
4020, 0.001, 0.000, 0.001, 0.000, sre_parse.py:160(__len__)
3976, 0.001, 0.000, 0.001, 0.000, sre_parse.py:249(match)
3910, 0.001, 0.000, 0.001, 0.000, sre_parse.py:172(append)
3427, 0.002, 0.000, 0.015, 0.000, <frozen, importlib._bootstrap_external>:145(_path_is_mode_type)
3413, 0.006, 0.000, 0.014, 0.000, functools.py:35(update_wrapper)
3388, 0.000, 0.000, 0.000, 0.000, {method, 'pop' of 'dict' objects}
3361, 0.001, 0.000, 0.001, 0.000, {method, 'items' of 'dict' objects}
3344/795, 0.001, 0.000, 0.001, 0.000, __init__.py:362(recursive_subclasses)
3233, 0.000, 0.000, 0.000, 0.000, typing.py:743(<genexpr>)
3202/2487, 0.008, 0.000, 0.046, 0.000, inspect.py:2246(_signature_from_callable)
3190, 0.001, 0.000, 0.007, 0.000, <frozen, importlib._bootstrap_external>:1346(_path_importer_cache)
3158, 0.008, 0.000, 0.011, 0.000, inspect.py:2781(__init__)
3157, 0.001, 0.000, 0.016, 0.000, <frozen, importlib._bootstrap_external>:154(_path_isfile)
3131, 0.001, 0.000, 0.001, 0.000, functools.py:65(wraps)
3071/9, 0.001, 0.000, 3.189, 0.354, <frozen, importlib._bootstrap>:220(_call_with_frames_removed)
2979, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap_external>:64(_relax_case)
2979, 0.015, 0.000, 0.114, 0.000, <frozen, importlib._bootstrap_external>:1514(find_spec)
2788, 0.000, 0.000, 0.000, 0.000, {method, 'setdefault' of 'dict' objects}
2740, 0.001, 0.000, 0.001, 0.000, inspect.py:514(_is_wrapper)
2695, 0.001, 0.000, 0.002, 0.000, {built-in, method _abc._abc_instancecheck}
2695, 0.000, 0.000, 0.002, 0.000, abc.py:117(__instancecheck__)
2693/1, 0.040, 0.000, 3.292, 3.292, {built-in, method builtins.exec}
2686, 0.001, 0.000, 0.001, 0.000, util.py:189(is_consecutive)
2654, 0.001, 0.000, 0.002, 0.000, __init__.py:411(_strip_comment)
2612, 0.000, 0.000, 0.000, 0.000, {built-in, method sys.getrecursionlimit}
2612, 0.003, 0.000, 0.005, 0.000, inspect.py:494(unwrap)
2611/20, 0.003, 0.000, 3.170, 0.159, <frozen, importlib._bootstrap>:1033(_handle_fromlist)
2564, 0.000, 0.000, 0.000, 0.000, {built-in, method builtins.chr}
2477, 0.001, 0.000, 0.047, 0.000, inspect.py:2859(from_callable)
2477, 0.001, 0.000, 0.048, 0.000, inspect.py:3111(signature)
2469, 0.001, 0.000, 0.003, 0.000, re.py:188(match)
2456, 0.000, 0.000, 0.000, 0.000, facts.py:633(<genexpr>)
2454, 0.001, 0.000, 0.001, 0.000, sre_parse.py:286(tell)
2453, 0.000, 0.000, 0.001, 0.000, typing.py:750(__eq__)
2453, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap>:152(__init__)
2453, 0.001, 0.000, 0.014, 0.000, <frozen, importlib._bootstrap>:156(__enter__)
2453, 0.001, 0.000, 0.005, 0.000, <frozen, importlib._bootstrap>:160(__exit__)
2453/6, 0.006, 0.000, 3.191, 0.532, <frozen, importlib._bootstrap>:1002(_find_and_load)
2436/6, 0.005, 0.000, 3.191, 0.532, <frozen, importlib._bootstrap>:967(_find_and_load_unlocked)
2404, 0.002, 0.000, 0.003, 0.000, <frozen, importlib._bootstrap>:58(__init__)
2404, 0.002, 0.000, 0.003, 0.000, <frozen, importlib._bootstrap>:185(cb)
2356, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap>:351(__init__)
2341, 0.001, 0.000, 0.001, 0.000, _virtualenv.py:51(find_spec)
2341, 0.000, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap>:736(find_spec)
2341, 0.012, 0.000, 0.151, 0.000, <frozen, importlib._bootstrap>:901(_find_spec)
2341, 0.001, 0.000, 0.002, 0.000, __init__.py:89(find_spec)
2338/2337, 0.004, 0.000, 0.125, 0.000, <frozen, importlib._bootstrap_external>:1383(_get_spec)
2337, 0.000, 0.000, 0.000, 0.000, {built-in, method _imp.is_frozen}
2337, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap>:811(find_spec)
2337, 0.001, 0.000, 0.127, 0.000, <frozen, importlib._bootstrap_external>:1415(find_spec)
2258, 0.001, 0.000, 0.001, 0.000, typing.py:128(_type_convert)
2242, 0.000, 0.000, 0.000, 0.000, <frozen, importlib._bootstrap>:406(has_location)
2242, 0.006, 0.000, 0.030, 0.000, <frozen, importlib._bootstrap>:486(_init_module_attrs)
2242/2237, 0.003, 0.000, 1.380, 0.001, <frozen, importlib._bootstrap>:558(module_from_spec)
2242/10, 0.005, 0.000, 3.189, 0.319, <frozen, importlib._bootstrap>:659(_load_unlocked)
2235, 0.003, 0.000, 0.004, 0.000, <frozen, importlib._bootstrap_external>:696(spec_from_file_location)
2235, 0.002, 0.000, 0.007, 0.000, <frozen, importlib._bootstrap_external>:1509(_get_spec)
2234, 0.002, 0.000, 0.015, 0.000, <frozen, importlib._bootstrap_external>:491(_get_cached)
2222/663, 0.003, 0.000, 0.003, 0.000, sre_parse.py:174(getwidth)
2201, 0.002, 0.000, 0.009, 0.000, <frozen, importlib._bootstrap>:203(_lock_unlock_module)
2172, 0.001, 0.000, 0.001, 0.000, typing_extensions.py:174(_should_collect_from_parameters)
2133, 0.003, 0.000, 0.006, 0.000, typing.py:137(_type_check)
2115, 0.005, 0.000, 0.005, 0.000, {method, '__exit__' of '_io._IOBase' objects}
2104, 0.000, 0.000, 0.000, 0.000, facts.py:582(_tell)
2097, 0.253, 0.000, 0.253, 0.000, {method, 'read' of '_io.BufferedReader' objects}
2067, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap>:35(_new_module)
2065, 0.001, 0.000, 0.001, 0.000, <frozen, importlib._bootstrap_external>:1006(__init__)
2064, 0.000, 0.000, 0.000, 0.000, {built-in, method _imp._fix_co_filename}
2064, 0.197, 0.000, 0.197, 0.000, {built-in, method marshal.loads}
2064, 0.042, 0.000, 0.042, 0.000, {built-in, method io.open_code}
2064, 0.001, 0.000, 0.002, 0.000, <frozen, importlib._bootstrap_external>:523(_check_name_wrapper)
2064, 0.003, 0.000, 0.005, 0.000, <frozen, importlib._bootstrap_external>:560(_classify_pyc)
2064, 0.002, 0.000, 0.004, 0.000, <frozen, importlib._bootstrap_external>:593(_validate_timestamp_pyc)
2064, 0.003, 0.000, 0.201, 0.000, <frozen, importlib._bootstrap_external>:645(_compile_bytecode)
2064, 0.009, 0.000, 0.540, 0.000, <frozen, importlib._bootstrap_external>:916(get_code)
2064, 0.000, 0.000, 0.000, 0.000, <frozen, importlib._bootstrap_external>:1031(get_filename)
2064, 0.004, 0.000, 0.302, 0.000, <frozen, importlib._bootstrap_external>:1036(get_data)
2064, 0.001, 0.000, 0.007, 0.000, <frozen, importlib._bootstrap_external>:1077(path_stats)
2063, 0.000, 0.000, 0.000, 0.000, <frozen, importlib._bootstrap_external>:841(create_module)
2063/4, 0.003, 0.000, 3.187, 0.797, <frozen, importlib._bootstrap_external>:844(exec_module)
2055, 0.000, 0.000, 0.001, 0.000, _docscrape.py:65(eof)
2048, 0.000, 0.000, 0.000, 0.000, <frozen, importlib._bootstrap_external>:1481(<genexpr>)
2038, 0.007, 0.000, 0.007, 0.000, {built-in, method torch._C._dispatch_has_kernel_for_dispatch_key}
2034/405, 0.002, 0.000, 0.002, 0.000, {built-in, method _abc._abc_subclasscheck}
2034/405, 0.000, 0.000, 0.002, 0.000, abc.py:121(__subclasscheck__)
2006, 0.000, 0.000, 0.000, 0.000, {built-in, method builtins.globals}
1996, 0.010, 0.000, 0.028, 0.000, inspect.py:2152(_signature_from_function)
1973, 0.000, 0.000, 0.001, 0.000, inspect.py:73(isclass)
1958, 0.001, 0.000, 0.001, 0.000, types.py:171(__get__)
1938, 0.001, 0.000, 0.001, 0.000, sre_parse.py:111(__init__)
1893, 0.000, 0.000, 0.000, 0.000, _docscrape.py:44(__getitem__)
1869/297, 0.005, 0.000, 0.012, 0.000, sre_compile.py:71(_compile)
1867, 0.001, 0.000, 0.001, 0.000, {method, 'extend' of 'list' objects}
1866, 0.000, 0.000, 0.000, 0.000, __init__.py:831(<lambda>)
1721/1411, 0.000, 0.000, 0.001, 0.000, typing.py:756(__hash__)
1621, 0.000, 0.000, 0.000, 0.000, enum.py:792(value)
1558, 0.000, 0.000, 0.000, 0.000, dataclasses.py:391(<genexpr>)
1465, 0.002, 0.000, 0.002, 0.000, {built-in, method torch._C._get_schema}
1465, 0.006, 0.000, 0.006, 0.000, {built-in, method torch._C._get_operation_overload}
1465, 0.012, 0.000, 0.012, 0.000, _ops.py:239(__init__)
1465, 0.003, 0.000, 0.024, 0.000, _ops.py:447(__getattr__)
1428, 0.001, 0.000, 0.001, 0.000, enum.py:462(__setattr__)
1419, 0.000, 0.000, 0.032, 0.000, re.py:250(compile)
1414, 0.015, 0.000, 0.020, 0.000, library.py:71(impl)
1362, 0.002, 0.000, 0.010, 0.000, tokenize.py:429(_tokenize)
1327, 0.000, 0.000, 0.000, 0.000, sre_parse.py:81(groups)
1326, 0.000, 0.000, 0.000, 0.000, _builtins.py:124(_is_special_functional_bound_op)
1323, 0.000, 0.000, 0.000, 0.000, {method, 'find' of 'bytearray' objects}
1301, 0.000, 0.000, 0.000, 0.000, _docscrape.py:81(is_empty)
1298, 0.003, 0.000, 0.003, 0.000, {built-in, method torch._C._dispatch_has_kernel}
1293, 0.000, 0.000, 0.000, 0.000, inspect.py:936(tokeneater)
1282, 0.000, 0.000, 0.000, 0.000, {method, 'clear' of 'dict' objects}
1281, 0.000, 0.000, 0.000, 0.000, __init__.py:654(_set)
1277, 0.000, 0.000, 0.003, 0.000, typing.py:466(<genexpr>)
1273, 0.000, 0.000, 0.000, 0.000, enum.py:33(_is_sunder)
1273, 0.001, 0.000, 0.001, 0.000, enum.py:44(_is_private)
1273, 0.002, 0.000, 0.005, 0.000, enum.py:88(__setitem__)
1272, 0.001, 0.000, 0.001, 0.000, enum.py:22(_is_dunder)
1226, 0.001, 0.000, 0.001, 0.000, otConverters.py:153(__init__)
